                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.34168,                 5.1727,                0.32107,                 0.2854,                0.94673,                0.99774,                      1,                  0.995,                0.94312,                0.69839,                    0.7,                0.52761,                0.12755,                0.38851,                 4.1538,                0.37435,                 0.2704,                0.73443,              0.0013664,              0.0013664,              0.0013664
                     34,                0.34638,                 5.1744,                0.31367,                0.28335,                0.94002,                0.99816,                      1,                  0.995,                0.93368,                0.26633,                0.26667,                0.10706,                0.02531,                0.44099,                 5.3822,                0.37634,                0.26337,                0.77708,              0.0013466,              0.0013466,              0.0013466
                     35,                0.37081,                 5.1449,                0.34054,                0.29876,                0.94367,                0.97928,                      1,                  0.995,                0.94454,                0.41168,                0.46667,                0.24765,                0.06613,                0.40593,                 4.1964,                 0.3784,                0.31545,                0.74259,              0.0013268,              0.0013268,              0.0013268
                     36,                0.33635,                 5.3959,                0.33046,                0.27069,                0.92637,                0.99759,                      1,                  0.995,                0.96716,                0.67723,                0.69942,                0.53984,                0.13642,                0.36172,                 3.8527,                0.36708,                0.28649,                0.67168,               0.001307,               0.001307,               0.001307
                     37,                0.34591,                 5.1863,                 0.3192,                0.28205,                0.94359,                0.99783,                      1,                  0.995,                0.96402,                0.59867,                    0.6,                0.40984,                 0.1218,                0.35767,                 4.2662,                0.38098,                0.31159,                0.65986,              0.0012872,              0.0012872,              0.0012872
                     38,                0.34483,                 5.1998,                0.31937,                0.27554,                0.93013,                0.99805,                      1,                  0.995,                0.99226,                0.63227,                0.63333,                0.48811,                0.15093,                0.29606,                 3.9633,                0.37929,                0.29747,                0.60429,              0.0012674,              0.0012674,              0.0012674
                     39,                0.35294,                 5.5191,                0.32957,                0.28383,                0.94634,                0.99809,                      1,                  0.995,                0.95779,                0.56589,                0.56667,                0.39606,                0.13091,                  0.381,                 4.3393,                0.39072,                 0.2868,                0.65452,              0.0012476,              0.0012476,              0.0012476
                     40,                0.32892,                 4.9581,                0.32144,                0.26549,                0.92271,                0.99821,                      1,                  0.995,                0.97168,                0.49929,                    0.5,                0.43228,                 0.1103,                0.36164,                 4.1693,                0.40796,                0.35189,                 0.6818,              0.0012278,              0.0012278,              0.0012278
                     41,                0.35087,                 4.6792,                0.32044,                0.28177,                0.93836,                0.99828,                      1,                  0.995,                0.98338,                0.66549,                0.66667,                0.60589,                 0.2091,                0.30961,                 3.7132,                0.40818,                0.28972,                0.62401,               0.001208,               0.001208,               0.001208
                     42,                0.32989,                  4.502,                0.30651,                0.26799,                0.92919,                0.99804,                      1,                  0.995,                0.96937,                0.77741,                0.81521,                0.79701,                0.25818,                0.33121,                 3.4129,                0.39998,                0.25814,                0.64551,              0.0011882,              0.0011882,              0.0011882
